5000,8,0,,
4992,16,0,0,-3.5
4976,24,0,0,-3.166666667
4952,32,0,0,-2.833333333
4920,40,0,0,-2.5
4880,48,0,0,-2.166666667
4832,56,0,0,-1.833333333
4776,64,0,0,-1.5
4712,72,0,0,-1.166666667
4640,80,0,0,-0.833333333
4560,88,0,0,-0.5
4472,96,0,0,-0.166666667
4376,104,0.166666667,0.166666667,0.166666667
4272,108,0.333333333,0.333333333,0.333333333
4164,108,0.333333333,0.333333333,0.333333333
4056,108,0.333333333,0.333333333,0.333333333
3948,108,0.333333333,0.333333333,0.333333333
3840,108,0.333333333,0.333333333,0.333333333
3732,108,0.333333333,0.333333333,0.333333333
3624,108,0.333333333,0.333333333,0.333333333
3516,108,0.333333333,0.333333333,0.333333333
3408,108,0.333333333,0.333333333,0.333333333
3300,108,0.333333333,0.333333333,0.333333333
3192,108,0.333333333,0.333333333,0.333333333
3084,108,0.333333333,0.333333333,0.333333333
2976,108,0.333333333,0.333333333,0.333333333
2868,108,0.333333333,0.333333333,0.333333333
2760,108,0.333333333,0.333333333,0.333333333
2652,108,0.333333333,0.333333333,0.333333333
2544,108,0.333333333,0.333333333,0.333333333
2436,108,0.333333333,0.333333333,0.333333333
2328,108,0.333333333,0.333333333,0.333333333
2220,108,0.333333333,0.333333333,0.333333333
2112,108,0.333333333,0.333333333,0.333333333
2004,108,0.333333333,0.333333333,0.333333333
1896,108,0.333333333,0.333333333,0.333333333
1788,108,0.333333333,0.333333333,0.333333333
1680,108,0.333333333,0.333333333,0.333333333
1572,108,0.333333333,0.333333333,0.333333333
1464,108,0.333333333,0.333333333,0.333333333
1356,108,0.333333333,0.333333333,0.333333333
1248,108,0.333333333,0.333333333,0.333333333
1140,108,0.333333333,0.333333333,0.333333333
1032,108,0.333333333,0.333333333,0.333333333
924,108,0.333333333,0.333333333,0.333333333
816,108,0.333333333,0.333333333,0.333333333
708,108,0.333333333,0.333333333,0.333333333
600,108,0.333333333,0.333333333,0.333333333
492,108,1,0.333333333,0.333333333
384,92,1,0,-0.333333333
292,76,1,0,-1
216,60,1,0,-1.666666667
156,44,1,0,-2.333333333
112,28,1,0,-3
84,12,0.375,0,-3.666666667
72,11,0.333333333,0,-3.708333333
61,11,0.333333333,0,-3.708333333
50,11,0.333333333,0,-3.708333333
39,11,0.333333333,0,-3.708333333
28,11,0,0,-3.708333333
17,19,0,0,-3.375
-2,27,0,0,-3.041666667